Final population Data: Variable values || Objective function values
1.0129386417934967	1.0129386417934967			|| 0.017344263753794546
0.5154568436390896	0.5154568436390896			|| 0.017344263753794546
0.2326815947899541	0.2326815947899541			|| 0.017344263753794546
2.0004693689841817	-0.387943897739105			|| 0.017344263753794546
0.5027822484764576	-0.6323667918522811			|| 0.017344263753794546
-1.9325631645927015	-0.5564298489785096			|| 0.017344263753794546
-1.321850369700301	-1.2191804178160992			|| 0.017344263753794546
-0.32601135586251995	0.7824154399419889			|| 0.017344263753794546
0.6575854389432343	0.6575854389432343			|| 0.017344263753794546
-1.3581459929972834	0.8551608132196042			|| 0.017344263753794546
1.2415428609875176	1.2415428609875176			|| 0.017344263753794546
0.49367690619155674	1.594645338659694			|| 0.017344263753794546
0.8316586361452929	0.8316586361452929			|| 0.017344263753794546
0.7466099415305032	0.11861276966142853			|| 0.017344263753794546
-1.8531793255058984	-0.941491248004831			|| 0.017344263753794546
0.5366117678507302	0.5366117678507302			|| 0.017344263753794546
0.5325186725373316	0.5325186725373316			|| 0.017344263753794546
-0.46732402947775253	-0.46732402947775253			|| 0.017344263753794546
-0.5498209642021354	0.6540674454147344			|| 0.017344263753794546
0.3936325049754381	0.0946128136432417			|| 0.017344263753794546
-0.6988501226937334	-1.715800246313344			|| 0.017344263753794546
-1.214799978378146	0.7041222121974551			|| 0.017344263753794546
1.007026213807222	1.007026213807222			|| 0.005055753019354143
1.1111734109444142	1.2412764326370975			|| 0.017344263753794546
0.1072173829372246	0.1072173829372246			|| 0.005055753019354143
-0.6269238128205978	0.5622539680691809			|| 0.016676126951403067
1.2491532574046693	1.2491532574046693			|| 0.017344263753794546
1.993956396433008	1.993956396433008			|| 0.005055753019354143
-0.6146476987788307	-0.6146476987788307			|| 0.016676126951403067
0.37273260226059035	0.37273260226059035			|| 0.017344263753794546
0.8272775645083916	0.8272775645083916			|| 0.005055753019354143
1.2335534963555221	1.2335534963555221			|| 0.016676126951403067
-1.4145954438490116	0.11332134308496267			|| 0.017344263753794546
1.0636031578781533	1.0636031578781533			|| 0.005055753019354143
-1.6275122692936452	1.0560275098237533			|| 0.016676126951403067
-1.8425295898529486	-0.47095249804984585			|| 0.017344263753794546
1.9342614380778116	0.890399730986474			|| 0.005055753019354143
0.7361065548582824	-0.8340387301559722			|| 0.016676126951403067
1.6683332197799987	-1.0387538400332605			|| 0.017344263753794546
-0.4640883311213013	0.5852209191441635			|| 0.005055753019354143
